date,open,high,low,close,volume
1999-06-11,62.4963,63.2785,61.1384,62.0890,4295200
1999-06-14,62.9363,63.0069,61.9206,62.7353,4896700
1999-06-15,63.8216,64.2616,62.3279,62.9363,4884900
1999-06-16,65.1089,65.9943,64.5658,65.5543,6963100
1999-06-17,64.7722,66.2659,64.6364,65.2828,4675900
1999-06-18,65.2828,65.9617,65.0438,65.5869,9159600
1999-06-21,66.7384,68.3027,66.6026,67.7596,6466300
1999-06-22,67.2816,69.3891,66.8090,67.0100,6791300
1999-06-23,66.4017,67.4554,66.1301,66.7765,4418800
1999-06-24,66.8742,67.5912,66.0269,66.5701,5231200
1999-06-25,66.9774,68.3027,66.8742,66.8742,4563600
1999-06-28,67.3522,67.7270,66.3691,66.5701,6233300
1999-06-29,66.8090,68.0638,66.6733,67.6890,5223800
1999-06-30,67.7922,71.6975,67.5532,70.2038,8257300
1999-07-01,70.6112,71.3227,69.5249,71.1543,5911600
1999-07-02,71.0892,71.8333,70.3396,71.8333,3543600
1999-07-06,71.9691,72.7187,71.0511,71.1543,5709300
1999-07-07,71.1543,72.5123,70.9534,72.1375,6648900
1999-07-08,71.9691,73.5986,71.7681,72.7838,6092900
1999-07-09,72.7838,74.6523,72.7187,74.6197,4795900
1999-07-12,74.6523,75.3313,73.5334,74.8533,5046900
1999-07-13,73.7344,75.6029,73.7344,74.8913,5645700
1999-07-14,75.1249,75.2281,73.9734,74.5491,4724000
1999-07-15,74.9565,75.0271,73.0554,74.0385,5583600
1999-07-16,74.0766,74.6849,73.5334,74.0060,5123100
1999-07-19,74.1417,75.4345,72.6155,73.1260,7626500
1999-07-20,71.6975,71.7681,68.4711,69.6606,14307400
1999-07-21,69.2533,70.4754,68.9111,70.0680,8792300
1999-07-22,69.3185,69.7964,67.0806,67.2816,8869100
1999-07-23,67.3522,68.1344,66.6026,67.7922,6964200
1999-07-26,67.1458,67.9605,66.6733,66.8090,5519900
1999-07-27,67.8954,68.7101,67.1132,68.5743,6513500
1999-07-28,68.6395,69.8996,68.3353,69.7313,5287600
1999-07-29,68.5743,68.7753,67.6890,68.0963,5707500
1999-07-30,68.4059,68.8133,67.5532,68.2702,4324900
1999-08-02,67.3522,68.4385,66.1627,66.4017,4565100
1999-08-03,66.6733,66.8742,64.1964,64.8374,6855900
1999-08-04,65.1796,66.1953,64.1258,64.3648,5754800
1999-08-05,65.1796,67.3522,63.8542,66.9122,7364500
1999-08-06,66.3303,69.0487,65.7866,67.1458,6142600
1999-08-09,67.2110,67.6569,65.8518,66.4336,4048100
1999-08-10,66.0584,66.6021,64.6666,64.8677,5846200
1999-08-11,65.3081,67.2817,65.1396,67.0425,5543000
1999-08-12,67.2817,67.3143,65.7866,65.8518,5027800
1999-08-13,66.7380,67.6895,66.3303,67.0751,4400400
1999-08-16,67.9613,69.5217,67.6895,69.2499,4889000
1999-08-17,69.8643,69.8969,68.8095,69.8643,5136400
1999-08-18,69.7990,70.4786,67.1458,67.3470,6607000
1999-08-19,67.3470,67.8907,65.9225,66.8413,7583300
1999-08-20,67.6188,67.6188,65.8192,66.1943,5962000
1999-08-23,66.7380,67.8907,66.4988,67.6569,6043500
1999-08-24,67.0751,67.2110,65.7866,66.3303,8442100
1999-08-25,66.3303,67.4503,65.7159,66.5314,6463000
1999-08-26,66.6674,68.4344,66.3629,66.8413,6245300
1999-08-27,67.9613,68.0646,66.7380,67.4176,4354600
1999-08-30,67.5536,68.2984,66.7054,66.9773,4773000
1999-08-31,67.6188,68.5050,66.8033,67.7221,6214400
1999-09-01,68.2984,69.8643,68.2332,69.1846,6264400
1999-09-02,68.7769,68.9128,67.5536,68.4344,5583100
1999-09-03,69.7990,70.5439,69.5924,70.0600,5282900
1999-09-07,70.0709,72.1423,69.7990,71.7672,7552900
1999-09-08,71.4953,72.8219,71.0549,71.0876,7206100
1999-09-09,72.0390,74.2138,71.5660,73.2623,8423100
1999-09-10,74.7575,74.8608,73.0612,73.3982,5089300
1999-09-13,73.1971,73.7027,71.7672,71.9738,4442300
1999-09-14,71.7672,72.6153,71.7346,72.4794,4590700
1999-09-15,72.8546,73.3982,71.7346,71.7346,5655400
1999-09-16,71.7672,71.9738,70.4406,70.6798,6092600
1999-09-17,71.4301,71.4627,67.2817,68.1625,14857800
1999-09-20,68.7769,71.1582,68.5050,70.7505,7543000
1999-09-21,70.0002,70.4786,68.6410,69.1140,6983600
1999-09-22,69.1520,69.1846,67.6188,68.0646,8091900
1999-09-23,69.3206,69.4891,66.0258,66.3303,7590000
1999-09-24,65.5147,67.9613,65.4821,67.9613,7450800
1999-09-27,68.8421,68.9454,65.9877,66.8740,7075100
1999-09-28,66.8740,67.8254,66.1617,67.1458,7103400
1999-09-29,66.3629,66.7707,65.2429,65.2755,8775600
1999-09-30,65.7866,66.4662,65.0363,65.7866,6642500
1999-10-01,65.7866,65.8192,62.7963,64.0196,10558900
1999-10-04,64.1555,65.2429,63.4759,65.1722,7042000
1999-10-05,66.3303,67.0099,64.7318,66.3303,6435700
1999-10-06,66.4662,66.7380,64.7318,64.8025,8054900
1999-10-07,64.7644,64.8025,62.5571,63.2693,14240000
1999-10-08,62.5244,62.5571,60.3823,61.7089,17867900
1999-10-11,61.7089,63.4433,61.5023,62.1167,7827100
1999-10-12,61.9807,62.4538,59.8060,59.8060,8274900
1999-10-13,60.2464,60.2790,57.0875,57.1201,15015000
1999-10-14,57.9031,58.3108,56.9190,58.1749,14178500
1999-10-15,57.8704,59.1916,56.4732,58.6479,13920700
1999-10-18,58.7186,59.2623,56.9190,58.1749,9678300
1999-10-19,58.1749,58.9904,57.3268,58.2402,9184700
1999-10-20,59.0557,61.4697,58.1749,58.1749,11376700
1999-10-21,50.5632,50.5632,48.3885,49.4759,69444700
1999-10-22,50.9710,51.4440,50.2914,51.0743,26668700
1999-10-25,51.2429,51.7159,50.0848,51.0362,13765400
1999-10-26,51.5799,52.1943,51.4440,51.9225,11367400
1999-10-27,51.9225,51.9551,50.4599,50.5632,9871400
1999-10-28,51.3788,51.8192,51.2429,51.6180,9446700
1999-10-29,52.7380,53.8254,52.3302,53.4176,11078500
1999-11-01,53.5535,53.7221,52.3955,52.6021,9551800
1999-11-02,52.6021,52.6347,50.9384,51.5473,11105400
1999-11-03,52.1236,52.1617,50.8351,51.3081,10369100
1999-11-04,51.3462,51.3462,48.9322,49.7803,16697600
1999-11-05,50.4273,50.5306,49.0355,49.0681,13737600
1999-11-08,49.2669,51.1395,49.2669,51.1395,8522300
1999-11-09,51.7493,51.9888,50.1488,50.9653,9551200
1999-11-10,51.5097,52.8380,51.2375,52.8054,8680300
1999-11-11,53.0776,53.0776,51.6458,51.7166,7147500
1999-11-12,52.2610,52.3971,50.6278,52.1902,9668400
1999-11-15,52.2610,52.4624,51.1014,51.2049,6259400
1999-11-16,51.5097,51.7166,50.6278,51.5097,8537400
1999-11-17,51.6458,51.6458,50.4210,51.0361,8355100
1999-11-18,51.1722,53.4859,50.9327,53.3498,18720500
1999-11-19,53.8941,57.2258,53.5512,56.5834,19678400
1999-11-22,57.4326,59.0331,56.8556,58.7228,13681600
1999-11-23,59.2346,59.8116,57.7048,57.7375,10665200
1999-11-24,57.1605,57.1605,55.4239,56.8883,9710400
1999-11-26,57.6722,57.7048,56.6814,57.1605,3108400
1999-11-29,57.1278,57.1278,56.2731,56.7195,5677700
1999-11-30,56.4473,56.8883,55.5926,56.1043,5758700
1999-12-01,55.8322,56.8556,55.6634,56.3003,5336400
1999-12-02,56.3112,57.8736,56.2731,57.3074,6216900
1999-12-03,59.7789,61.4448,58.7609,60.9004,14680300
1999-12-06,61.5155,63.4209,61.2433,63.1487,9928300
1999-12-07,63.6931,64.8853,62.8438,63.4862,11326100
1999-12-08,63.2848,65.8706,62.8765,64.3899,8139800
1999-12-09,65.5984,66.4803,61.1072,61.7170,16643000
1999-12-10,60.7643,60.9385,58.5541,59.3380,12588800
1999-12-13,58.8589,61.3794,58.0097,59.7191,7135200
1999-12-14,59.9858,59.9858,58.1785,59.4741,7437900
1999-12-15,58.6575,58.7609,56.8883,58.2492,9437900
1999-12-16,58.7936,59.7136,57.5687,59.4414,7122300
1999-12-17,60.2580,60.4594,59.1311,59.8824,7676800
1999-12-20,59.3707,60.1219,58.6575,59.4469,4836300
1999-12-21,59.0658,59.9477,58.8263,59.9477,4773500
1999-12-22,59.8116,60.0511,58.7936,58.7936,4005600
1999-12-23,59.4033,60.1219,58.8970,59.1311,4528700
1999-12-27,59.7136,59.8824,58.8589,59.7463,3740700
1999-12-28,59.6428,60.2907,59.3707,59.7789,4083100
1999-12-29,60.1219,60.1546,59.2019,59.3380,2683300
1999-12-30,59.7136,60.1546,59.0985,59.2019,3435100
1999-12-31,59.4414,59.6102,58.0424,58.7228,2870300
2000-01-03,61.2107,63.1487,60.9004,63.1487,10347700
2000-01-04,62.0599,62.3321,60.3560,61.0038,8227800
2000-01-05,61.4829,65.1901,61.0365,63.1487,12733200
2000-01-06,64.2375,64.7492,61.7877,62.0599,7971900
2000-01-07,63.8292,64.2048,60.2199,61.7877,11856700
